id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
1,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2018-06-28T06:00:00Z,PM2.5,13,44,26,NA
2,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2018-06-28T06:00:00Z,PM10,12,74,48,NA
3,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2018-06-28T06:00:00Z,NO2,4,28,13,NA
4,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2018-06-28T06:00:00Z,NH3,2,5,3,NA
5,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2018-06-28T06:00:00Z,SO2,6,12,8,NA
6,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2018-06-28T06:00:00Z,CO,12,52,27,NA
7,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2018-06-28T06:00:00Z,OZONE,24,66,45,NA
8,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2018-06-28T06:00:00Z,PM2.5,5,53,24,NA
9,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2018-06-28T06:00:00Z,PM10,11,88,35,NA
10,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2018-06-28T06:00:00Z,NO2,8,81,22,NA
11,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2018-06-28T06:00:00Z,NH3,2,5,3,NA
12,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2018-06-28T06:00:00Z,SO2,5,13,8,NA
13,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2018-06-28T06:00:00Z,CO,17,117,30,NA
14,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2018-06-28T06:00:00Z,OZONE,32,74,63,NA
15,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",2018-06-28T06:00:00Z,PM2.5,6,29,18,NA
16,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",2018-06-28T06:00:00Z,PM10,22,73,52,NA
17,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",2018-06-28T06:00:00Z,NO2,9,56,32,NA
18,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",2018-06-28T06:00:00Z,NH3,1,2,1,NA
19,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",2018-06-28T06:00:00Z,SO2,2,7,4,NA
20,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",2018-06-28T06:00:00Z,CO,7,29,9,NA
21,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",2018-06-28T06:00:00Z,OZONE,11,23,19,NA
22,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",2018-06-28T06:00:00Z,PM2.5,8,70,35,NA
23,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",2018-06-28T06:00:00Z,PM10,12,85,50,NA
24,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",2018-06-28T06:00:00Z,NO2,9,10,10,NA
25,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",2018-06-28T06:00:00Z,NH3,2,2,2,NA
26,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",2018-06-28T06:00:00Z,SO2,11,24,15,NA
27,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",2018-06-28T06:00:00Z,CO,8,82,28,NA
28,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",2018-06-28T06:00:00Z,OZONE,13,14,14,NA
29,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2018-06-28T06:00:00Z,PM2.5,26,84,52,NA
30,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2018-06-28T06:00:00Z,PM10,40,140,87,NA
31,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2018-06-28T06:00:00Z,NO2,21,72,50,NA
32,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2018-06-28T06:00:00Z,NH3,2,5,2,NA
33,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2018-06-28T06:00:00Z,SO2,14,34,23,NA
34,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2018-06-28T06:00:00Z,CO,2,46,17,NA
35,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2018-06-28T06:00:00Z,OZONE,3,33,16,NA
36,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",2018-06-28T06:00:00Z,PM2.5,10,304,83,NA
37,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",2018-06-28T06:00:00Z,NO2,27,59,42,NA
38,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",2018-06-28T06:00:00Z,SO2,15,19,18,NA
39,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",2018-06-28T06:00:00Z,CO,47,94,59,NA
40,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",2018-06-28T06:00:00Z,OZONE,28,46,36,NA
41,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate,Muzaffarpur - BSPCB",2018-06-28T06:00:00Z,PM2.5,15,71,34,NA
42,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate,Muzaffarpur - BSPCB",2018-06-28T06:00:00Z,NO2,53,77,61,NA
43,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate,Muzaffarpur - BSPCB",2018-06-28T06:00:00Z,SO2,82,118,103,NA
44,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate,Muzaffarpur - BSPCB",2018-06-28T06:00:00Z,CO,20,43,27,NA
45,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate,Muzaffarpur - BSPCB",2018-06-28T06:00:00Z,OZONE,58,130,68,NA
46,India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",2018-06-28T06:00:00Z,PM2.5,18,140,73,NA
47,India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",2018-06-28T06:00:00Z,NO2,2,164,88,NA
48,India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",2018-06-28T06:00:00Z,SO2,30,106,49,NA
49,India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",2018-06-28T06:00:00Z,CO,1,89,22,NA
50,India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",2018-06-28T06:00:00Z,OZONE,33,122,43,NA
51,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2018-06-28T06:00:00Z,PM2.5,5,75,33,NA
52,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2018-06-28T06:00:00Z,PM10,3,105,43,NA
53,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2018-06-28T06:00:00Z,NO2,10,31,20,NA
54,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2018-06-28T06:00:00Z,NH3,8,13,10,NA
55,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2018-06-28T06:00:00Z,SO2,2,19,6,NA
56,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2018-06-28T06:00:00Z,CO,15,40,24,NA
57,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2018-06-28T06:00:00Z,OZONE,19,108,32,NA
58,India,Delhi,Delhi,"Aya Nagar, New Delhi - IMD",2018-06-28T06:00:00Z,PM2.5,NA,NA,NA,NA
59,India,Delhi,Delhi,"Aya Nagar, New Delhi - IMD",2018-06-28T06:00:00Z,PM10,2,89,62,NA
60,India,Delhi,Delhi,"Aya Nagar, New Delhi - IMD",2018-06-28T06:00:00Z,NO2,32,60,39,NA
61,India,Delhi,Delhi,"Aya Nagar, New Delhi - IMD",2018-06-28T06:00:00Z,CO,26,134,105,NA
62,India,Delhi,Delhi,"Aya Nagar, New Delhi - IMD",2018-06-28T06:00:00Z,OZONE,35,74,38,NA
63,India,Delhi,Delhi,"CRRI Mathura Road, New Delhi - IMD",2018-06-28T06:00:00Z,PM2.5,2,396,58,NA
